College,Branch,Rank,Priority
TVE,CS,481,0
TVE,ECE,713,0
TVE,EEE,1659,0
TVE,ME,2473,0
TVE,AEI,2987,0
TVE,CE,3113,0
TVE,IE,7532,0
TCR,CS,784,1
TCR,ECE,1624,1
TCR,EEE,3611,1
TCR,CHE,3886,1
TCR,ME,5109,1
TCR,CE,6106,1
TCR,PE,14492,1
TKM,CS,1269,2
TKM,ECE,2799,2
TKM,EEE,4817,2
TKM,CE,5485,2
TKM,CHE,5652,2
TKM,ME,7572,2
TRV,ECE,3540,3
TRV,IT,7159,3
TRV,CE,7442,3
TRV,EEE,7660,3
TRV,ME,8843,3
MAC,CS,1686,4
MAC,ECE,4622,4
MAC,EEE,8309,4
MAC,CE,8912,4
MAC,ME,13162,4
KTE,CS,2019,5
KTE,ECE,4721,5
KTE,EEE,8045,5
KTE,CE,8823,5
KTE,ME,11020,5
PKD,CS,2396,6
PKD,ECE,7455,6
PKD,EEE,8780,6
PKD,CE,8929,6
PKD,IT,10288,6
PKD,ME,13346,6
KNR,CS,2493,7
KNR,ECE,6958,7
KNR,EEE,8812,7
KNR,CE,8942,7
KNR,ME,13178,7
NSS,CS,2507,8
NSS,ECE,6257,8
NSS,EEE,8742,8
NSS,CE,8936,8
NSS,ME,13370,8
NSS,ICE,16019,8
KKE,CHE,6316,9
KKE,ECE,7454,9
KKE,CE,8860,9
KKE,AEI,12326,9
KKE,ME,13354,9
IDK,ECE,4621,10
IDK,CS,8514,10
IDK,EEE,10007,10
IDK,IT,12407,10
IDK,ME,12424,10
WYD,CS,8941,11
WYD,ECE,10105,11
WYD,EEE,15124,11
WYD,ME,17454,11
